iter	RMSE
0	593751.2635
1	577131.0788
2	561584.8899
3	547031.2136
4	533463.4992
5	520842.1589
6	508622.1745
7	496819.269
8	486224.0342
9	475779.7473
10	465664.6472
11	456607.9655
12	448142.8355
13	439717.8307
14	431638.1616
15	423964.9985
16	416786.7764
17	409905.5773
18	403701.6376
19	397553.3251
20	391241.0488
21	385653.7763
22	379813.3686
23	374090.22
24	369456.7375
25	364181.6901
26	359369.4724
27	354551.8731
28	350373.3979
29	346534.4254
30	342598.3764
31	339060.0887
32	335233.4922
33	331381.7942
34	327824.3489
35	324747.5808
36	321504.0669
37	318387.1608
38	315552.2927
39	312725.5972
40	310130.1854
41	307366.8807
42	304929.9909
43	302462.9334
44	300259.5752
45	298227.0343
46	295829.8975
47	293863.8816
48	291695.7458
49	289889.0736
50	288175.3422
51	286402.4641
52	284672.5428
53	283104.6217
54	281606.3353
55	280229.9135
56	278566.7547
57	276976.1869
58	275550.9979
59	274152.4461
60	272905.1938
61	271601.0682
62	270211.9263
63	268904.3853
64	267849.6577
65	266725.3846
66	265668.2841
67	264263.1418
68	262966.4679
69	262022.4756
70	260684.5831
71	259604.5999
72	258593.7729
73	257519.0168
74	256730.5512
75	255954.1334
76	255061.8595
77	254281.9289
78	253494.4753
79	252685.9503
80	252002.2805
81	251289.6151
82	250653.8137
83	249943.0528
84	249096.3683
85	248446.8082
86	247808.0423
87	247247.8931
88	246758.4322
89	245886.1884
90	245391.0391
91	244639.7656
92	243964.0204
93	243468.0662
94	242790.3744
95	242267.5547
96	241857.5253
97	241435.1998
98	241024.2956
99	240529.3973
100	240062.8153
101	239521.2665
102	239126.9745
103	238734.6321
104	238340.2635
105	237933.0451
106	237556.472
107	237044.9821
108	236723.4385
109	236248.9351
110	235917.73
111	235587.1908
112	235169.1613
113	234864.8247
114	234606.6302
115	234332.842
116	233941.4886
117	233676.8189
118	233312.5983
119	232974.1679
120	232640.1876
121	232384.7929
122	232132.3255
123	231911.6329
124	231661.0683
125	231457.9189
126	231211.9441
127	231011.686
128	230807.3843
129	230577.2016
130	230385.1701
131	230161.2462
132	229964.7936
133	229759.6492
134	229574.3577
135	229403.6947
136	229163.32
137	228990.416
138	228751.3542
139	228593.7703
140	228451.8877
141	228301.8538
142	228115.7591
143	227903.7615
144	227732.8479
145	227605.4135
146	227375.5924
147	227233.0309
148	227083.5328
149	226898.8219
150	226729.9904
151	226586.491
152	226446.5001
153	226300.003
154	226165.4678
155	226027.1182
156	225926.6386
157	225826.0038
158	225666.7096
159	225573.4
160	225465.2565
161	225368.231
162	225266.5575
163	225155.1597
164	225005.4526
165	224885.6139
166	224782.6198
167	224661.8242
168	224570.608
169	224482.3443
170	224353.0177
171	224261.956
172	224190.5902
173	224092.4351
174	224002.3707
175	223935.1321
176	223841.1035
177	223757.5356
178	223643.3196
179	223541.5372
