iter	Passed	Remaining
0	6	5564
1	12	4813
2	17	4614
3	21	4233
4	25	4006
5	29	3954
6	34	3871
7	38	3843
8	43	3787
9	47	3727
10	51	3707
11	55	3644
12	59	3615
13	63	3584
14	68	3589
15	72	3556
16	76	3540
17	80	3511
18	85	3500
19	89	3471
20	93	3454
21	96	3426
22	100	3408
23	104	3374
24	108	3371
25	112	3349
26	116	3333
27	120	3309
28	124	3298
29	127	3283
30	131	3272
31	135	3257
32	139	3242
33	143	3236
34	147	3228
35	151	3221
36	155	3213
37	159	3198
38	163	3187
39	167	3173
40	171	3166
41	174	3154
42	178	3140
43	182	3129
44	185	3118
45	189	3110
46	193	3097
47	197	3089
48	200	3076
49	204	3071
50	208	3063
51	212	3056
52	216	3048
53	220	3040
54	223	3032
55	227	3022
56	231	3013
57	234	3005
58	238	3000
59	242	2993
60	247	2994
61	250	2986
62	254	2977
63	258	2968
64	262	2965
65	265	2958
66	270	2954
67	273	2945
68	277	2941
69	281	2934
70	285	2927
71	288	2920
72	292	2910
73	296	2905
74	299	2896
75	303	2890
76	307	2882
77	310	2878
78	314	2871
79	318	2865
80	321	2858
81	326	2856
82	330	2852
83	333	2846
84	337	2842
85	342	2840
86	346	2838
87	350	2834
88	354	2830
89	358	2825
90	361	2819
91	366	2817
92	370	2813
93	373	2807
94	377	2801
95	381	2796
96	385	2794
97	389	2787
98	392	2782
99	396	2776
100	400	2772
101	404	2766
102	408	2763
103	412	2757
104	416	2756
105	420	2750
106	424	2748
107	428	2742
108	432	2742
109	436	2738
110	440	2735
111	444	2733
112	449	2730
113	453	2726
114	457	2723
115	461	2719
116	465	2715
117	469	2710
118	473	2707
119	477	2703
120	481	2700
121	485	2695
122	489	2693
123	493	2689
124	497	2688
125	501	2683
126	505	2680
127	510	2679
128	515	2680
129	519	2679
130	524	2677
131	528	2675
132	533	2675
133	537	2673
134	542	2674
135	548	2679
136	554	2681
137	558	2679
138	563	2680
139	568	2679
140	573	2681
141	579	2684
142	585	2687
143	590	2690
144	596	2692
145	601	2693
146	606	2695
147	612	2698
148	617	2700
149	623	2702
150	629	2706
151	635	2709
152	640	2710
153	646	2711
154	653	2719
155	660	2727
156	667	2732
157	673	2736
158	679	2740
159	685	2741
160	690	2742
161	696	2741
162	701	2742
163	707	2745
164	713	2744
165	718	2745
166	725	2748
167	730	2749
168	736	2748
169	742	2750
170	748	2751
171	754	2753
172	760	2755
173	765	2754
174	770	2753
175	776	2751
176	781	2749
177	786	2747
178	791	2745
179	796	2744
180	801	2741
181	806	2738
182	811	2735
183	816	2731
184	821	2729
185	825	2726
186	830	2723
187	836	2721
188	840	2717
189	845	2714
190	850	2710
191	855	2707
192	859	2703
193	864	2699
194	868	2695
195	873	2690
196	878	2688
197	882	2683
198	887	2679
199	891	2675
200	896	2671
201	900	2667
202	905	2662
203	910	2659
204	914	2654
205	919	2650
206	923	2645
207	928	2641
208	932	2637
209	937	2633
210	945	2637
211	950	2636
212	955	2634
213	960	2630
214	964	2625
215	969	2620
216	973	2615
217	977	2610
218	982	2605
219	986	2599
220	990	2594
221	994	2588
222	998	2582
223	1002	2577
224	1006	2572
225	1010	2567
226	1015	2562
227	1019	2557
228	1023	2552
229	1027	2546
230	1031	2541
231	1036	2536
232	1040	2532
233	1045	2529
234	1050	2525
235	1054	2520
236	1058	2515
237	1062	2509
238	1067	2504
239	1071	2499
240	1075	2494
241	1079	2488
242	1083	2483
243	1087	2478
244	1091	2473
245	1095	2467
246	1100	2462
247	1104	2457
248	1108	2452
249	1112	2447
250	1116	2442
251	1120	2436
252	1124	2431
253	1129	2427
254	1133	2422
255	1138	2418
256	1142	2414
257	1147	2409
258	1151	2404
259	1155	2399
260	1159	2393
261	1163	2389
262	1167	2383
263	1171	2379
264	1175	2373
265	1180	2369
266	1184	2363
267	1188	2359
268	1192	2353
269	1196	2349
270	1200	2344
271	1205	2339
272	1209	2334
273	1213	2329
274	1217	2324
275	1221	2319
276	1226	2315
277	1230	2310
278	1235	2306
279	1240	2302
280	1244	2299
281	1249	2294
282	1253	2290
283	1257	2284
284	1262	2281
285	1266	2276
286	1271	2272
287	1275	2268
288	1280	2264
289	1285	2259
290	1289	2255
291	1293	2250
292	1297	2245
293	1302	2241
294	1306	2237
295	1311	2232
296	1315	2227
297	1319	2222
298	1324	2218
299	1328	2214
300	1332	2209
301	1338	2206
302	1342	2202
303	1347	2197
304	1351	2193
305	1356	2189
306	1360	2185
307	1365	2180
308	1370	2177
309	1375	2174
310	1380	2170
311	1385	2166
312	1391	2164
313	1396	2161
314	1402	2158
315	1410	2159
316	1414	2155
317	1419	2151
318	1424	2147
319	1428	2142
320	1433	2138
321	1437	2133
322	1442	2130
323	1447	2125
324	1451	2121
325	1456	2117
326	1460	2112
327	1465	2108
328	1469	2103
329	1474	2100
330	1479	2095
331	1484	2092
332	1489	2088
333	1493	2084
334	1498	2080
335	1503	2076
336	1509	2074
337	1515	2071
338	1521	2068
339	1526	2065
340	1532	2063
341	1538	2059
342	1544	2057
343	1549	2053
344	1554	2050
345	1562	2050
346	1567	2046
347	1573	2043
348	1579	2040
349	1584	2037
350	1590	2034
351	1596	2031
352	1602	2028
353	1608	2026
354	1613	2022
355	1619	2019
356	1624	2016
357	1630	2013
358	1637	2011
359	1643	2008
360	1648	2004
361	1654	2001
362	1659	1997
363	1664	1993
364	1670	1991
365	1675	1987
366	1680	1983
367	1686	1979
368	1691	1975
369	1697	1972
370	1703	1969
371	1709	1966
372	1714	1962
373	1720	1960
374	1726	1956
375	1733	1954
376	1739	1951
377	1745	1948
378	1751	1945
379	1757	1941
380	1762	1938
381	1768	1935
382	1775	1933
383	1781	1929
384	1786	1925
385	1792	1922
386	1798	1919
387	1804	1916
388	1811	1913
389	1817	1911
390	1823	1907
391	1829	1904
392	1835	1901
393	1842	1898
394	1847	1894
395	1853	1891
396	1860	1888
397	1865	1884
398	1871	1880
399	1876	1876
400	1882	1873
401	1888	1869
402	1895	1866
403	1901	1863
404	1907	1860
405	1915	1858
406	1928	1862
407	1935	1860
408	1942	1857
409	1949	1854
410	1957	1852
411	1963	1849
412	1970	1846
413	1977	1844
414	1987	1844
415	1995	1842
416	2003	1840
417	2010	1837
418	2018	1835
419	2023	1830
420	2030	1827
421	2037	1825
422	2043	1821
423	2049	1817
424	2057	1815
425	2090	1835
426	2113	1845
427	2124	1846
428	2137	1848
429	2146	1846
430	2154	1844
431	2162	1842
432	2173	1842
433	2191	1847
434	2203	1848
435	2214	1848
436	2225	1848
437	2247	1857
438	2264	1861
439	2274	1860
440	2286	1861
441	2296	1860
442	2311	1862
443	2325	1864
444	2447	1952
445	2857	2268
446	3269	2581
447	3486	2739
448	3606	2819
449	3683	2865
450	3714	2874
451	3738	2878
452	3779	2895
453	3802	2897
454	3825	2900
455	3856	2909
456	3876	2909
457	3890	2905
458	3921	2913
459	3950	2919
460	3989	2933
461	4013	2936
462	4090	2977
463	4134	2993
464	4156	2994
465	4178	2995
466	4196	2992
467	4218	2992
468	4239	2992
469	4277	3003
470	4481	3130
471	4544	3158
472	4576	3164
473	4598	3162
474	4633	3170
475	4669	3178
476	4690	3175
477	4702	3167
478	4718	3162
479	4730	3153
480	4746	3148
481	4759	3140
482	4771	3131
483	4791	3128
484	4819	3129
485	4832	3122
486	4856	3121
487	4882	3121
488	4919	3128
489	4958	3137
490	4992	3141
491	5142	3219
492	5192	3233
493	5237	3244
494	5279	3253
495	5318	3259
496	5342	3257
497	5365	3253
498	5406	3261
499	5441	3264
500	5455	3255
501	5466	3245
502	5476	3233
503	5488	3223
504	5502	3214
505	5519	3206
506	5548	3206
507	5562	3197
508	5571	3185
509	5588	3177
510	5601	3167
511	5653	3180
512	5692	3184
513	5716	3180
514	5726	3169
515	5755	3167
516	5769	3158
517	5792	3153
518	5810	3146
519	5834	3141
520	5845	3130
521	5862	3122
522	5878	3113
523	5906	3111
524	5924	3103
525	5968	3109
526	5982	3098
527	5989	3085
528	5996	3071
529	6005	3059
530	6013	3046
531	6022	3033
532	6029	3020
533	6037	3007
534	6044	2993
535	6052	2980
536	6060	2968
537	6068	2955
538	6077	2942
539	6083	2929
540	6092	2916
541	6108	2907
542	6116	2895
543	6123	2881
544	6134	2870
545	6142	2857
546	6151	2845
547	6159	2832
548	6167	2819
549	6175	2806
550	6184	2794
551	6193	2782
552	6200	2769
553	6208	2756
554	6216	2744
555	6224	2731
556	6232	2719
557	6240	2706
558	6245	2692
559	6252	2679
560	6258	2666
561	6264	2652
562	6271	2639
563	6277	2626
564	6285	2614
565	6292	2601
566	6299	2588
567	6307	2576
568	6315	2564
569	6323	2551
570	6330	2538
571	6337	2526
572	6344	2513
573	6352	2501
574	6362	2489
575	6371	2477
576	6379	2465
577	6386	2452
578	6394	2440
579	6401	2428
580	6408	2415
581	6415	2403
582	6424	2391
583	6432	2379
584	6440	2367
585	6447	2354
586	6455	2342
587	6462	2330
588	6470	2317
589	6479	2306
590	6487	2294
591	6496	2282
592	6504	2270
593	6511	2258
594	6518	2245
595	6525	2233
596	6532	2221
597	6542	2209
598	6550	2198
599	6557	2185
600	6566	2174
601	6574	2162
602	6581	2150
603	6589	2138
604	6596	2126
605	6605	2114
606	6613	2102
607	6627	2093
608	6636	2081
609	6646	2070
610	6658	2059
611	6670	2049
612	6683	2038
613	6694	2027
614	6705	2016
615	6718	2006
616	6738	1998
617	6753	1988
618	6798	1987
619	6816	1978
620	6835	1970
621	6846	1959
622	6856	1948
623	6869	1937
624	6888	1928
625	6899	1917
626	6908	1906
627	6918	1894
628	6927	1883
629	6936	1871
630	6942	1859
631	6950	1847
632	6957	1835
633	6964	1823
634	6972	1811
635	6980	1800
636	6989	1788
637	6998	1777
638	7005	1765
639	7012	1753
640	7020	1741
641	7027	1729
642	7034	1717
643	7041	1705
644	7049	1693
645	7056	1682
646	7063	1670
647	7070	1658
648	7079	1647
649	7086	1635
650	7094	1623
651	7102	1612
652	7110	1600
653	7117	1589
654	7124	1577
655	7131	1565
656	7137	1553
657	7143	1541
658	7151	1530
659	7156	1518
660	7162	1506
661	7168	1494
662	7175	1482
663	7181	1470
664	7187	1459
665	7193	1447
666	7199	1435
667	7204	1423
668	7209	1411
669	7215	1400
670	7221	1388
671	7226	1376
672	7232	1364
673	7237	1353
674	7243	1341
675	7248	1329
676	7254	1317
677	7258	1306
678	7263	1294
679	7268	1282
680	7275	1271
681	7281	1259
682	7286	1248
683	7292	1236
684	7297	1225
685	7303	1213
686	7310	1202
687	7318	1191
688	7323	1179
689	7329	1168
690	7334	1156
691	7339	1145
692	7344	1134
693	7349	1122
694	7353	1110
695	7358	1099
696	7363	1088
697	7368	1076
698	7372	1065
699	7377	1053
700	7382	1042
701	7387	1031
702	7392	1020
703	7397	1008
704	7402	997
705	7407	986
706	7412	974
707	7417	963
708	7421	952
709	7426	941
710	7431	930
711	7436	919
712	7441	907
713	7445	896
714	7450	885
715	7454	874
716	7459	863
717	7464	852
718	7469	841
719	7475	830
720	7480	819
721	7485	808
722	7490	797
723	7496	786
724	7501	775
725	7506	765
726	7510	754
727	7516	743
728	7523	732
729	7528	721
730	7532	711
731	7538	700
732	7543	689
733	7548	678
734	7553	667
735	7558	657
736	7563	646
737	7568	635
738	7574	625
739	7579	614
740	7584	603
741	7589	593
742	7595	582
743	7601	572
744	7607	561
745	7612	551
746	7618	540
747	7623	529
748	7629	519
749	7635	509
750	7640	498
751	7647	488
752	7652	477
753	7657	467
754	7662	456
755	7667	446
756	7672	435
757	7678	425
758	7683	415
759	7688	404
760	7693	394
761	7697	383
762	7702	373
763	7707	363
764	7711	352
765	7717	342
766	7721	332
767	7726	321
768	7730	311
769	7736	301
770	7742	291
771	7748	281
772	7753	270
773	7758	260
774	7764	250
775	7769	240
776	7774	230
777	7779	219
778	7784	209
779	7788	199
780	7793	189
781	7797	179
782	7802	169
783	7807	159
784	7812	149
785	7817	139
786	7821	129
787	7826	119
788	7831	109
789	7836	99
790	7840	89
791	7845	79
792	7849	69
793	7854	59
794	7859	49
795	7865	39
796	7869	29
797	7874	19
798	7879	9
799	7884	0
